# TIMING — « Je crache les démons » (Daïsky · Prod TechStein)
# Source: 'Je crache les démons.txt' (timestamps artiste = FIN de vers ; start = fin du vers précédent)
# Audio: Je crache mes démons.mp3 · 210.02 s (3:30.02) · -13.9 LUFS · TP -1.3 dBFS · dernier son utile 207.82 s
# Endcard: 210.0 -> 215.0 (apad 5 s, fade out 3 s)
# CORRECTION v1: ligne 05 'Je me relève...' -0:36.5 -> -0:27.0 (hors chronologie dans le .txt ; aligné sur le refrain 2 : 1:25.0)
# idx | slot | section | start | end | texte

01 | s01 | INTRO          |   0.00 |   5.00 | Wolof TechStein beat wê...0:04
02 | s02 | INTRO          |   5.00 |  16.00 | Yeah... J'ai touché le fond... 0:10
03 | s03 | REFRAIN        |  16.00 |  21.50 | Je crache, je crache, mes démons dans la nuit
04 | s04 | REFRAIN        |  21.50 |  24.50 | Je crache, je crache, tous les mensonges qu'on m'a dit
05 | s05 | REFRAIN        |  24.50 |  27.00 | Je me relève, je me relève, même quand tout est fini
06 | s06 | REFRAIN        |  27.00 |  29.50 | J'ai survécu, j'ai survécu, personne ne m'a trahi
07 | s03 | REFRAIN        |  29.50 |  31.50 | Je crache, je crache, mes démons dans la nuit
08 | s04 | REFRAIN        |  31.50 |  34.50 | Je crache, je crache, tous les mensonges qu'on m'a dit
09 | s05 | REFRAIN        |  34.50 |  36.50 | Je me relève, je me relève, même quand tout est fini
10 | s06 | REFRAIN        |  36.50 |  40.00 | J'ai survécu, j'ai survécu, personne ne m'a trahi
11 | s07 | REFRAIN        |  40.00 |  42.50 | Wolof TechStein beat wê!
12 | s08 | COUPLET 1      |  42.50 |  44.50 | J'ai dormi sur le sol, j'ai rêvé de l'or
13 | s09 | COUPLET 1      |  44.50 |  47.50 | J'ai vu mes frères tomber, j'ai serré les dents trop fort
14 | s10 | COUPLET 1      |  47.50 |  50.00 | J'ai souri dans la foule, j'ai pleuré dans le noir
15 | s11 | COUPLET 1      |  50.00 |  51.50 | J'ai prêté ma main à ceux qui m'ont tiré vers le bas
16 | s12 | COUPLET 1      |  51.50 |  54.50 | Mais j'ai gardé la flamme, une petite lumière
17 | s13 | COUPLET 1      |  54.50 |  57.50 | Contre les tempêtes, contre les frontières
18 | s14 | COUPLET 1      |  57.50 |  59.50 | On m'a dit "t'es trop petit, trop lent, trop différent"
19 | s15 | COUPLET 1      |  59.50 |  61.50 | Mais j'ai transformé leurs insultes en sang, en talent
20 | s16 | COUPLET 1      |  61.50 |  64.50 | Maintenant je suis debout, j'ai des cicatrices sur le cœur
21 | s17 | COUPLET 1      |  64.50 |  67.50 | Chaque larme versée est devenue une œuvre
22 | s18 | PRÉ-REFRAIN    |  67.50 |  69.50 | Ils m'ont vu à genoux, ils ont cru que c'était fini
23 | s19 | PRÉ-REFRAIN    |  69.50 |  72.50 | Mais ils ne savent pas que je suis né pour la vie
24 | s20 | PRÉ-REFRAIN    |  72.50 |  74.50 | Le feu dans mes veines, la rage dans mes poings
25 | s21 | PRÉ-REFRAIN    |  74.50 |  77.50 | Je suis le phénix, je renais de mes cendres
26 | s03 | REFRAIN        |  77.50 |  79.50 | Je crache, je crache, mes démons dans la nuit
27 | s04 | REFRAIN        |  79.50 |  82.50 | Je crache, je crache, tous les mensonges qu'on m'a dit
28 | s05 | REFRAIN        |  82.50 |  85.00 | Je me relève, je me relève, même quand tout est fini
29 | s06 | REFRAIN        |  85.00 |  87.50 | J'ai survécu, j'ai survécu, personne ne m'a trahi
